artifact_group,method,requested_far,tar_percent,far_rule,actual_far,checkpoint_sha256,calibration,review_status,finite_evidence,source,source_sha256,original_csv
shared_d2_A_20260913,ijbc-IJBC,0.001,25.65,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 10, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 146246796, ""path"": ""work_dirs/shared_d2_A_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_A_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
shared_d2_A_20260913,ijbc-IJBC,0.01,43.08,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 10, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 146246796, ""path"": ""work_dirs/shared_d2_A_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_A_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
shared_d2_A_20260913,ijbc-IJBC,0.1,67.99,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 10, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 146246796, ""path"": ""work_dirs/shared_d2_A_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_A_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
channelwise_template_tail01_20260915,ijbc-IJBC,1e-06,89.92,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_tail01_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_tail01_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_tail01_20260915,ijbc-IJBC,1e-05,93.78,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_tail01_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_tail01_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_tail01_20260915,ijbc-IJBC,0.0001,95.84,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_tail01_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_tail01_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_tail01_20260915,ijbc-IJBC,0.001,97.38,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_tail01_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_tail01_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_tail01_20260915,ijbc-IJBC,0.01,98.37,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_tail01_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_tail01_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
channelwise_template_tail01_20260915,ijbc-IJBC,0.1,99.04,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""source_images"", ""augmented_embeddings"", ""target"", ""audited_input_rows"", ""audited_output_rows"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/channelwise_template_tail01_20260915/ijbc_full/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/channelwise_template_tail01_20260915/ijbc_full/pair_geometry/ijbc_tar_at_far.csv
shared_d2_D_20260913,ijbc-IJBC,1e-06,71.54,historical_nearest,unknown,unknown,unknown,needs_review,"{""audits"": [{""embedding_nonfinite_rows"": 0, ""keys"": [""nonfinite_values"", ""embedding_nonfinite_rows"", ""batches"", ""scope""], ""nonfinite_values"": 0, ""path"": ""work_dirs/shared_d2_D_20260913/final_ijbc/finite_audit.json""}], ""logs"": []}",docs/0915_result/selection_evidence.json,b3b3e645064c9908daf001457c568f17a43bbe1472855cd30b3113527fa81d28,work_dirs/shared_d2_D_20260913/final_ijbc/shared_d2/ijbc_tar_at_far.csv
